id,date,open,high,low,close,volume,market_capital
1235,2004/11/24,5868.73 ,5918.70 ,5862.99 ,5911.31 ,3067284.00 ,13337000.00 
1236,2004/11/25,5925.08 ,5925.08 ,5855.24 ,5855.24 ,2643702.00 ,13210401.00 
1237,2004/11/26,5883.59 ,5935.20 ,5778.65 ,5778.65 ,3930151.00 ,13040268.00 
1238,2004/11/29,5797.95 ,5812.17 ,5756.41 ,5785.26 ,2771364.00 ,13055082.00 
1239,2004/11/30,5770.81 ,5844.76 ,5722.18 ,5844.76 ,3102243.00 ,13192545.00 
1240,2004/12/1,5778.06 ,5815.87 ,5745.05 ,5798.62 ,2571387.00 ,13091423.00 
1241,2004/12/2,5861.52 ,5867.95 ,5826.51 ,5867.95 ,3160809.00 ,13250392.00 
1242,2004/12/3,5869.51 ,5893.27 ,5850.89 ,5893.27 ,2672569.00 ,13306450.00 
1243,2004/12/6,5864.45 ,5922.80 ,5857.64 ,5919.17 ,2693647.00 ,13363793.00 
1244,2004/12/7,5907.87 ,5927.68 ,5885.80 ,5925.28 ,2405431.00 ,13377499.00 
1245,2004/12/8,5908.92 ,5908.92 ,5879.88 ,5892.51 ,2443268.00 ,13305259.00 
1246,2004/12/9,5894.66 ,5923.54 ,5886.79 ,5913.97 ,2905241.00 ,13349884.00 
1247,2004/12/10,5906.26 ,5911.63 ,5869.07 ,5911.63 ,2670883.00 ,13344562.00 
1248,2004/12/13,5901.45 ,5978.96 ,5818.28 ,5878.89 ,4111611.00 ,13270485.00 
1249,2004/12/14,5908.13 ,5909.65 ,5873.40 ,5909.65 ,2339780.00 ,13339875.00 
1250,2004/12/15,5930.85 ,6011.12 ,5912.95 ,6002.58 ,4831442.00 ,13549634.00 
1251,2004/12/16,6007.00 ,6025.46 ,5990.59 ,6019.23 ,3960166.00 ,13581332.00 
1252,2004/12/17,6019.80 ,6028.75 ,6002.39 ,6009.32 ,3101494.00 ,13559176.00 
1253,2004/12/20,5913.27 ,5985.94 ,5910.04 ,5985.94 ,2804074.00 ,13506619.00 
1254,2004/12/21,5981.97 ,6000.77 ,5975.73 ,5987.85 ,2664056.00 ,13511012.00 
1255,2004/12/22,6008.67 ,6043.77 ,6001.52 ,6001.52 ,3515003.00 ,13542117.00 
1256,2004/12/23,6002.80 ,6011.43 ,5966.10 ,5997.67 ,2276144.00 ,13533583.00 
1257,2004/12/24,5989.77 ,6037.71 ,5989.73 ,6019.42 ,2541075.00 ,13584414.00 
1258,2004/12/27,6018.02 ,6018.02 ,5973.17 ,5985.94 ,2468572.00 ,13508767.00 
1259,2004/12/28,5980.13 ,6020.59 ,5980.13 ,6000.57 ,2153453.00 ,13541818.00 
1260,2004/12/29,6038.14 ,6102.89 ,6038.14 ,6088.49 ,4366284.00 ,13740168.00 
1261,2004/12/30,6109.98 ,6117.66 ,6087.32 ,6100.86 ,3532641.00 ,13768902.00 
1262,2004/12/31,6118.63 ,6160.96 ,6077.51 ,6139.69 ,4275829.00 ,13880084.00 
1263,2005/1/3,6166.39 ,6183.15 ,6129.28 ,6143.12 ,4227307.00 ,13992521.00 
1264,2005/1/4,6117.87 ,6129.38 ,6053.18 ,6060.46 ,3233436.00 ,13804384.00 
1265,2005/1/5,5999.47 ,6030.19 ,5988.37 ,5988.37 ,2865117.00 ,13639961.00 
1266,2005/1/6,5988.72 ,6002.52 ,5971.58 ,5982.12 ,2395164.00 ,13625840.00 
1267,2005/1/7,5990.78 ,6007.34 ,5934.83 ,5935.99 ,3012464.00 ,13520959.00 
1268,2005/1/10,5950.12 ,5962.64 ,5929.11 ,5942.85 ,2420193.00 ,13536494.00 
1269,2005/1/11,5948.07 ,5993.39 ,5942.14 ,5975.66 ,2522340.00 ,13611112.00 
1270,2005/1/12,5957.90 ,5978.41 ,5878.39 ,5879.08 ,2915796.00 ,13391159.00 
1271,2005/1/13,5899.76 ,5922.26 ,5828.09 ,5853.94 ,3132402.00 ,13334111.00 
1272,2005/1/14,5831.70 ,5895.35 ,5813.15 ,5889.52 ,3119523.00 ,13415735.00 
1273,2005/1/17,5955.62 ,5969.03 ,5940.06 ,5945.27 ,3226564.00 ,13542346.00 
1274,2005/1/18,5964.08 ,5964.08 ,5926.80 ,5933.57 ,2348169.00 ,13518035.00 
1275,2005/1/19,5952.59 ,5961.78 ,5895.35 ,5895.35 ,2679069.00 ,13431069.00 
1276,2005/1/20,5835.68 ,5918.33 ,5835.68 ,5888.10 ,3170411.00 ,13413788.00 
1277,2005/1/21,5877.31 ,5898.86 ,5846.95 ,5848.91 ,2511128.00 ,13324430.00 
1278,2005/1/24,5859.89 ,5862.62 ,5763.84 ,5771.48 ,2625207.00 ,13152839.00 
1279,2005/1/25,5759.21 ,5796.85 ,5734.87 ,5782.75 ,2597054.00 ,13177865.00 
1280,2005/1/26,5815.48 ,5847.41 ,5810.14 ,5835.37 ,2353947.00 ,13297130.00 
1281,2005/1/27,5849.23 ,5859.70 ,5820.72 ,5842.76 ,2351498.00 ,13314028.00 
1282,2005/1/28,5845.59 ,5902.72 ,5836.47 ,5879.93 ,3067527.00 ,13398789.00 
1283,2005/1/31,5905.30 ,6002.37 ,5900.37 ,5994.23 ,4479304.00 ,13666589.00 
1284,2005/2/1,6015.78 ,6015.78 ,5979.92 ,5981.54 ,3209661.00 ,13680906.00 
1285,2005/2/2,6016.33 ,6064.66 ,6010.76 ,6018.69 ,4016166.00 ,13764541.00 
1286,2005/2/3,6028.94 ,6044.43 ,6006.23 ,6034.60 ,3219616.00 ,13800932.00 
1287,2005/2/14,6130.32 ,6148.95 ,6089.44 ,6112.40 ,3828539.00 ,13975443.00 
1288,2005/2/15,6121.97 ,6142.44 ,6106.50 ,6122.39 ,3060645.00 ,14008017.00 
1289,2005/2/16,6134.53 ,6158.80 ,6086.30 ,6143.49 ,3723777.00 ,14056383.00 
1290,2005/2/17,6118.62 ,6139.65 ,6072.16 ,6072.16 ,3727012.00 ,13893263.00 
